title,description,published date,url,publisher
"Gempa bumi 5,1 SR mengguncang Iran - Merdeka.com","Gempa bumi 5,1 SR mengguncang Iran  Merdeka.com",2018-01-11 08:00:00+00:00,https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3Lm1lcmRla2EuY29tL2R1bmlhL2dlbXBhLWJ1bWktNTEtc3ItbWVuZ2d1bmNhbmctaXJhbi5odG1s0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.merdeka.com', 'title': 'Merdeka.com'}"
Gempa Tektonik 4 SR Guncang Nias Selatan - Okezone News,Gempa Tektonik 4 SR Guncang Nias Selatan  Okezone News,2018-01-12 08:00:00+00:00,https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vbmV3cy5va2V6b25lLmNvbS9yZWFkLzIwMTgvMDEvMTIvMzQwLzE4NDQxNzcvZ2VtcGEtdGVrdG9uaWstNC1zci1ndW5jYW5nLW5pYXMtc2VsYXRhbtIBXGh0dHBzOi8vbmV3cy5va2V6b25lLmNvbS9hbXAvMjAxOC8wMS8xMi8zNDAvMTg0NDE3Ny9nZW1wYS10ZWt0b25pay00LXNyLWd1bmNhbmctbmlhcy1zZWxhdGFu?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://news.okezone.com', 'title': 'Okezone News'}"
Gempa bumi guncang wilayah Luwu Timur - ANTARA Sulawesi Utara,Gempa bumi guncang wilayah Luwu Timur  ANTARA Sulawesi Utara,2018-01-12 08:00:00+00:00,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vbWFrYXNzYXIuYW50YXJhbmV3cy5jb20vYmVyaXRhLzk3MjUzL2dlbXBhLWJ1bWktZ3VuY2FuZy13aWxheWFoLWx1d3UtdGltdXLSAVZodHRwczovL21ha2Fzc2FyLmFudGFyYW5ld3MuY29tL2FtcC9iZXJpdGEvOTcyNTMvZ2VtcGEtYnVtaS1ndW5jYW5nLXdpbGF5YWgtbHV3dS10aW11cg?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://makassar.antaranews.com', 'title': 'ANTARA Sulawesi Utara'}"
5 Meteor yang Pernah Jatuh di Indonesia - kumparan.com - kumparan.com,5 Meteor yang Pernah Jatuh di Indonesia - kumparan.com  kumparan.com,2018-01-18 08:00:00+00:00,https://news.google.com/rss/articles/CBMiSWh0dHBzOi8va3VtcGFyYW4uY29tL2t1bXBhcmFubmV3cy81LW1ldGVvci15YW5nLXBlcm5haC1qYXR1aC1kaS1pbmRvbmVzaWHSAU9odHRwczovL20ua3VtcGFyYW4uY29tL2FtcC9rdW1wYXJhbm5ld3MvNS1tZXRlb3IteWFuZy1wZXJuYWgtamF0dWgtZGktaW5kb25lc2lh?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://kumparan.com', 'title': 'kumparan.com'}"
Gerak Cepat Tanpa Pembedaan - Pemerintah Provinsi Jawa Tengah,Gerak Cepat Tanpa Pembedaan  Pemerintah Provinsi Jawa Tengah,2018-01-20 10:32:09+00:00,https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vamF0ZW5ncHJvdi5nby5pZC9wdWJsaWsvZ2VyYWstY2VwYXQtdGFucGEtcGVtYmVkYWFuL9IBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://jatengprov.go.id', 'title': 'Pemerintah Provinsi Jawa Tengah'}"
"Mitos Purnama Picu Gempa, Ini Kata Peneliti Halaman all - Kompas.com - KOMPAS.com","Mitos Purnama Picu Gempa, Ini Kata Peneliti Halaman all - Kompas.com  KOMPAS.com",2018-01-22 08:00:00+00:00,https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vc2FpbnMua29tcGFzLmNvbS9yZWFkLzIwMTgvMDEvMjIvMTczNTAwNTIzL21pdG9zLXB1cm5hbWEtcGljdS1nZW1wYS1pbmkta2F0YS1wZW5lbGl0aT9wYWdlPWFsbNIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://sains.kompas.com', 'title': 'KOMPAS.com'}"
"Gempa Dahsyat Guncang Banten hingga Jakarta, Berikut Video dan Foto-fotonya - Tribun Medan","Gempa Dahsyat Guncang Banten hingga Jakarta, Berikut Video dan Foto-fotonya  Tribun Medan",2018-01-23 08:00:00+00:00,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vbWVkYW4udHJpYnVubmV3cy5jb20vMjAxOC8wMS8yMy9nZW1wYS1kYWhzeWF0LWd1bmNhbmctYmFudGVuLWhpbmdnYS1qYWthcnRhLWJlcmlrdXQtdmlkZW8tZGFuLWZvdG8tZm90b255YdIBdmh0dHBzOi8vbWVkYW4udHJpYnVubmV3cy5jb20vYW1wLzIwMTgvMDEvMjMvZ2VtcGEtZGFoc3lhdC1ndW5jYW5nLWJhbnRlbi1oaW5nZ2EtamFrYXJ0YS1iZXJpa3V0LXZpZGVvLWRhbi1mb3RvLWZvdG9ueWE?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://medan.tribunnews.com', 'title': 'Tribun Medan'}"
BPBD sebut 46 rumah rusak akibat gempa di Lebak Banten - Merdeka.com,BPBD sebut 46 rumah rusak akibat gempa di Lebak Banten  Merdeka.com,2018-01-23 08:00:00+00:00,https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3Lm1lcmRla2EuY29tL3BlcmlzdGl3YS9icGJkLXNlYnV0LTQ2LXJ1bWFoLXJ1c2FrLWFraWJhdC1nZW1wYS1kaS1sZWJhay1iYW50ZW4uaHRtbNIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.merdeka.com', 'title': 'Merdeka.com'}"
"Gempa Banten, Belasan Orang di Bogor Luka-luka - detikNews","Gempa Banten, Belasan Orang di Bogor Luka-luka  detikNews",2018-01-23 08:00:00+00:00,https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtMzgyOTcxNC9nZW1wYS1iYW50ZW4tYmVsYXNhbi1vcmFuZy1kaS1ib2dvci1sdWthLWx1a2HSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://news.detik.com', 'title': 'detikNews'}"
Pantau Lokasi Akurat #Gempa via Aplikasi Ini - detikInet,Pantau Lokasi Akurat #Gempa via Aplikasi Ini  detikInet,2018-01-23 08:00:00+00:00,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vaW5ldC5kZXRpay5jb20vY3liZXJsaWZlL2QtMzgyOTIxNi9wYW50YXUtbG9rYXNpLWFrdXJhdC1nZW1wYS12aWEtYXBsaWthc2ktaW5p0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://inet.detik.com', 'title': 'detikInet'}"
"Ada Gempa Saat Rapat di Pemkot Tangsel, Airin Panik - TangerangNews.com","Ada Gempa Saat Rapat di Pemkot Tangsel, Airin Panik  TangerangNews.com",2018-01-23 08:00:00+00:00,https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LnRhbmdlcmFuZ25ld3MuY29tL3RhbmdzZWwvcmVhZC8yMjcwMS9BZGEtR2VtcGEtU2FhdC1SYXBhdC1kaS1QZW1rb3QtVGFuZ3NlbC1BaXJpbi1QYW5pa9IBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.tangerangnews.com', 'title': 'TangerangNews.com'}"
Cerita warga Rangkasbitung selamatkan diri dari Gempa Lebak - ANTARA,Cerita warga Rangkasbitung selamatkan diri dari Gempa Lebak  ANTARA,2018-01-23 08:00:00+00:00,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmFudGFyYW5ld3MuY29tL2Jlcml0YS82Nzk4ODYvY2VyaXRhLXdhcmdhLXJhbmdrYXNiaXR1bmctc2VsYW1hdGthbi1kaXJpLWRhcmktZ2VtcGEtbGViYWvSAWZodHRwczovL20uYW50YXJhbmV3cy5jb20vYW1wL2Jlcml0YS82Nzk4ODYvY2VyaXRhLXdhcmdhLXJhbmdrYXNiaXR1bmctc2VsYW1hdGthbi1kaXJpLWRhcmktZ2VtcGEtbGViYWs?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.antaranews.com', 'title': 'ANTARA'}"
