title,description,published date,url,publisher
Cinevista Studios gets notice for fire safety violations - The Times of India,Cinevista Studios gets notice for fire safety violations  The Times of India,2018-01-09 08:00:00+00:00,https://news.google.com/rss/articles/CBMigQFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9jaXR5L211bWJhaS9jaW5ldmlzdGEtc3R1ZGlvcy1nZXRzLW5vdGljZS1mb3ItZmlyZS1zYWZldHktdmlvbGF0aW9ucy9hcnRpY2xlc2hvdy82MjQyMjA1NS5jbXPSAYUBaHR0cHM6Ly90aW1lc29maW5kaWEuaW5kaWF0aW1lcy5jb20vY2l0eS9tdW1iYWkvY2luZXZpc3RhLXN0dWRpb3MtZ2V0cy1ub3RpY2UtZm9yLWZpcmUtc2FmZXR5LXZpb2xhdGlvbnMvYW1wX2FydGljbGVzaG93LzYyNDIyMDU1LmNtcw?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://timesofindia.indiatimes.com', 'title': 'The Times of India'}"
Sisa Api Unggun Pendaki Diduga Jadi Penyebab Kebakaran Gunung Talang - Okezone News,Sisa Api Unggun Pendaki Diduga Jadi Penyebab Kebakaran Gunung Talang  Okezone News,2018-02-01 08:00:00+00:00,https://news.google.com/rss/articles/CBMieWh0dHBzOi8vbmV3cy5va2V6b25lLmNvbS9yZWFkLzIwMTgvMDIvMDEvMzQwLzE4NTM0Njkvc2lzYS1hcGktdW5nZ3VuLXBlbmRha2ktZGlkdWdhLWphZGktcGVueWViYWIta2ViYWthcmFuLWd1bnVuZy10YWxhbmfSAXhodHRwczovL25ld3Mub2tlem9uZS5jb20vYW1wLzIwMTgvMDIvMDEvMzQwLzE4NTM0Njkvc2lzYS1hcGktdW5nZ3VuLXBlbmRha2ktZGlkdWdhLWphZGktcGVueWViYWIta2ViYWthcmFuLWd1bnVuZy10YWxhbmc?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://news.okezone.com', 'title': 'Okezone News'}"
"Kebakaran di Tunjung Maya, 3 Rumah Hangus, Seorang Nenek Nyaris Terbakar - Banjarmasin Post","Kebakaran di Tunjung Maya, 3 Rumah Hangus, Seorang Nenek Nyaris Terbakar  Banjarmasin Post",2018-02-01 08:00:00+00:00,https://news.google.com/rss/articles/CBMidGh0dHBzOi8vYmFuamFybWFzaW4udHJpYnVubmV3cy5jb20vMjAxOC8wMi8wMS9rZWJha2FyYW4tZGktdHVuanVuZy1tYXlhLTMtcnVtYWgtaGFuZ3VzLXNlb3JhbmctbmVuZWstbnlhcmlzLXRlcmJha2Fy0gF4aHR0cHM6Ly9iYW5qYXJtYXNpbi50cmlidW5uZXdzLmNvbS9hbXAvMjAxOC8wMi8wMS9rZWJha2FyYW4tZGktdHVuanVuZy1tYXlhLTMtcnVtYWgtaGFuZ3VzLXNlb3JhbmctbmVuZWstbnlhcmlzLXRlcmJha2Fy?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://banjarmasin.tribunnews.com', 'title': 'Banjarmasin Post'}"
Empat Orang Sekeluarga Tewas dalam Kebakaran di Cengkareng - CNN Indonesia,Empat Orang Sekeluarga Tewas dalam Kebakaran di Cengkareng  CNN Indonesia,2018-02-02 08:00:00+00:00,https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3LmNubmluZG9uZXNpYS5jb20vbmFzaW9uYWwvMjAxODAyMDIwMzQ2NTUtMjAtMjczMzE4L2VtcGF0LW9yYW5nLXNla2VsdWFyZ2EtdGV3YXMtZGFsYW0ta2ViYWthcmFuLWRpLWNlbmdrYXJlbmfSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.cnnindonesia.com', 'title': 'CNN Indonesia'}"
"Kebakaran di Belilas, Dua Ruko dan 12 Kios Hangus Terbakar - Riaumandiri.co - Riaumandiri.co","Kebakaran di Belilas, Dua Ruko dan 12 Kios Hangus Terbakar - Riaumandiri.co  Riaumandiri.co",2018-02-02 08:00:00+00:00,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LnJpYXVtYW5kaXJpLmNvL3JlYWQvZGV0YWlsLzU2MDU3L2tlYmFrYXJhbi1kaS1iZWxpbGFzLC1kdWEtcnVrby1kYW4tMTIta2lvcy1oYW5ndXMtdGVyYmFrYXIuaHRtbNIBa2h0dHBzOi8vd3d3LnJpYXVtYW5kaXJpLmNvL2FtcC9kZXRhaWwvNTYwNTcva2ViYWthcmFuLWRpLWJlbGlsYXMsLWR1YS1ydWtvLWRhbi0xMi1raW9zLWhhbmd1cy10ZXJiYWthci5odG1s?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.riaumandiri.co', 'title': 'Riaumandiri.co'}"
Empat Orang Tewas dalam Kebakaran di Pedongkelan | Republika Online - Republika Online,Empat Orang Tewas dalam Kebakaran di Pedongkelan | Republika Online  Republika Online,2018-02-02 08:00:00+00:00,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vbmV3cy5yZXB1Ymxpa2EuY28uaWQvYmVyaXRhL3AzaG03eTMzNS9lbXBhdC1vcmFuZy10ZXdhcy1kYWxhbS1rZWJha2FyYW4tZGktcGVkb25na2VsYW7SAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://news.republika.co.id', 'title': 'Republika Online'}"
"Selidiki Penyebab Kebakaran, Tim Puslabfor dari Medan Didatangkan Ke Desa Bekawan Mandah - MonitorRiau.com","Selidiki Penyebab Kebakaran, Tim Puslabfor dari Medan Didatangkan Ke Desa Bekawan Mandah  MonitorRiau.com",2018-02-02 08:00:00+00:00,https://news.google.com/rss/articles/CBMigAFodHRwczovL21vbml0b3JyaWF1LmNvbS9uZXdzL2RldGFpbC82ODI3L3NlbGlkaWtpLXBlbnllYmFiLWtlYmFrYXJhbi10aW0tcHVzbGFiZm9yLWRhcmktbWVkYW4tZGlkYXRhbmdrYW4ta2UtZGVzYS1iZWthd2FuLW1hbmRhaNIBf2h0dHBzOi8vbW9uaXRvcnJpYXUuY29tL2FtcC9kZXRhaWwvNjgyNy9zZWxpZGlraS1wZW55ZWJhYi1rZWJha2FyYW4tdGltLXB1c2xhYmZvci1kYXJpLW1lZGFuLWRpZGF0YW5na2FuLWtlLWRlc2EtYmVrYXdhbi1tYW5kYWg?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://monitorriau.com', 'title': 'MonitorRiau.com'}"
Kesaksian Warga soal Kebakaran di Pedongkelan yang Tewaskan Satu Keluarga - Kompas.com,Kesaksian Warga soal Kebakaran di Pedongkelan yang Tewaskan Satu Keluarga  Kompas.com,2018-02-02 08:00:00+00:00,https://news.google.com/rss/articles/CBMigQFodHRwczovL21lZ2Fwb2xpdGFuLmtvbXBhcy5jb20vcmVhZC8yMDE4LzAyLzAyLzE3Mzk0ODMxL2tlc2Frc2lhbi13YXJnYS1zb2FsLWtlYmFrYXJhbi1kaS1wZWRvbmdrZWxhbi15YW5nLXRld2Fza2FuLXNhdHUta2VsdWFyZ2HSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://megapolitan.kompas.com', 'title': 'Kompas.com'}"
Cerita Satu-satunya Rumah Selamat dalam Kebakaran di Tamansari - Metro Tempo,Cerita Satu-satunya Rumah Selamat dalam Kebakaran di Tamansari  Metro Tempo,2018-02-02 08:00:00+00:00,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vbWV0cm8udGVtcG8uY28vcmVhZC8xMDU2NzQxL2Nlcml0YS1zYXR1LXNhdHVueWEtcnVtYWgtc2VsYW1hdC1kYWxhbS1rZWJha2FyYW4tZGktdGFtYW5zYXJp0gFhaHR0cHM6Ly9tZXRyby50ZW1wby5jby9hbXAvMTA1Njc0MS9jZXJpdGEtc2F0dS1zYXR1bnlhLXJ1bWFoLXNlbGFtYXQtZGFsYW0ta2ViYWthcmFuLWRpLXRhbWFuc2FyaQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://metro.tempo.co', 'title': 'Metro Tempo'}"
Potret Ruangan di Gedung DPR yang Hangus Terbakar - detikNews,Potret Ruangan di Gedung DPR yang Hangus Terbakar  detikNews,2018-02-03 08:00:00+00:00,https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vbmV3cy5kZXRpay5jb20vZm90by1uZXdzL2QtMzg0ODAxOS9wb3RyZXQtcnVhbmdhbi1kaS1nZWR1bmctZHByLXlhbmctaGFuZ3VzLXRlcmJha2Fy0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://news.detik.com', 'title': 'detikNews'}"
