title,stem,tokens,tokens_clean,merged
5 meteor yang pernah jatuh di indonesia   kumparan.com,5 meteor yang pernah jatuh di indonesia kumpar com,"['5', 'meteor', 'yang', 'pernah', 'jatuh', 'di', 'indonesia', 'kumpar', 'com']","['5', 'meteor', 'jatuh', 'indonesia', 'kumpar', 'com']",5 meteor jatuh indonesia kumpar com
"mitos purnama picu gempa, ini kata peneliti halaman all   kompas.com",mitos purnama picu gempa ini kata teliti halaman all kompas com,"['mitos', 'purnama', 'picu', 'gempa', 'ini', 'kata', 'teliti', 'halaman', 'all', 'kompas', 'com']","['mitos', 'purnama', 'picu', 'gempa', 'teliti', 'halaman', 'all', 'kompas', 'com']",mitos purnama picu gempa teliti halaman all kompas com
"gempa banten, belasan orang di bogor luka luka",gempa banten bas orang di bogor luka luka,"['gempa', 'banten', 'bas', 'orang', 'di', 'bogor', 'luka', 'luka']","['gempa', 'banten', 'bas', 'orang', 'bogor', 'luka', 'luka']",gempa banten bas orang bogor luka luka
cerita warga rangkasbitung selamatkan diri dari gempa lebak,cerita warga rangkasbitung selamat diri dari gempa lebak,"['cerita', 'warga', 'rangkasbitung', 'selamat', 'diri', 'dari', 'gempa', 'lebak']","['cerita', 'warga', 'rangkasbitung', 'selamat', 'gempa', 'lebak']",cerita warga rangkasbitung selamat gempa lebak
"gempa bikin 1 rumah rusak di jagakarsa, 1 orang terluka",gempa bikin 1 rumah rusak di jagakarsa 1 orang luka,"['gempa', 'bikin', '1', 'rumah', 'rusak', 'di', 'jagakarsa', '1', 'orang', 'luka']","['gempa', 'bikin', '1', 'rumah', 'rusak', 'jagakarsa', '1', 'orang', 'luka']",gempa bikin 1 rumah rusak jagakarsa 1 orang luka
"gempa lebak terasa hingga lampung dan bantul, yogyakarta",gempa lebak asa hingga lampung dan bantul yogyakarta,"['gempa', 'lebak', 'asa', 'hingga', 'lampung', 'dan', 'bantul', 'yogyakarta']","['gempa', 'lebak', 'asa', 'lampung', 'bantul', 'yogyakarta']",gempa lebak asa lampung bantul yogyakarta
"diguncang gempa, pasien rsud pasar minggu dievakuasi ke lobi",guncang gempa pasien rsud pasar minggu evakuasi ke lobi,"['guncang', 'gempa', 'pasien', 'rsud', 'pasar', 'minggu', 'evakuasi', 'ke', 'lobi']","['guncang', 'gempa', 'pasien', 'rsud', 'pasar', 'minggu', 'evakuasi', 'lobi']",guncang gempa pasien rsud pasar minggu evakuasi lobi
"gempa jakarta, pabrik toyota dan daihatsu sempat berhenti",gempa jakarta pabrik toyota dan daihatsu sempat henti,"['gempa', 'jakarta', 'pabrik', 'toyota', 'dan', 'daihatsu', 'sempat', 'henti']","['gempa', 'jakarta', 'pabrik', 'toyota', 'daihatsu', 'henti']",gempa jakarta pabrik toyota daihatsu henti
menyelamatkan diri saat terjebak gempa di gedung tinggi,selamat diri saat jebak gempa di gedung tinggi,"['selamat', 'diri', 'saat', 'jebak', 'gempa', 'di', 'gedung', 'tinggi']","['selamat', 'jebak', 'gempa', 'gedung']",selamat jebak gempa gedung
atap sekolah di pandeglang ambruk karena gempa lebak,atap sekolah di pandeglang ambruk karena gempa lebak,"['atap', 'sekolah', 'di', 'pandeglang', 'ambruk', 'karena', 'gempa', 'lebak']","['atap', 'sekolah', 'pandeglang', 'ambruk', 'gempa', 'lebak']",atap sekolah pandeglang ambruk gempa lebak
"tak miring, ini penampakan apartemen di depok yang viral usai gempa",tak miring ini tampak apartemen di depok yang viral usai gempa,"['tak', 'miring', 'ini', 'tampak', 'apartemen', 'di', 'depok', 'yang', 'viral', 'usai', 'gempa']","['miring', 'apartemen', 'depok', 'viral', 'gempa']",miring apartemen depok viral gempa
"gempa 6,4 sr guncang banten, jakarta dan sekitarnya",gempa 6 4 sr guncang banten jakarta dan sekitar,"['gempa', '6', '4', 'sr', 'guncang', 'banten', 'jakarta', 'dan', 'sekitar']","['gempa', '6', '4', 'sr', 'guncang', 'banten', 'jakarta']",gempa 6 4 sr guncang banten jakarta
"gempa goyang jakarta, perdagangan saham berjalan normal di bei",gempa goyang jakarta dagang saham jalan normal di bei,"['gempa', 'goyang', 'jakarta', 'dagang', 'saham', 'jalan', 'normal', 'di', 'bei']","['gempa', 'goyang', 'jakarta', 'dagang', 'saham', 'jalan', 'normal', 'bei']",gempa goyang jakarta dagang saham jalan normal bei
gempa banten hampir berbarengan dengan gempa di png,gempa banten hampir bareng dengan gempa di png,"['gempa', 'banten', 'hampir', 'bareng', 'dengan', 'gempa', 'di', 'png']","['gempa', 'banten', 'bareng', 'gempa', 'png']",gempa banten bareng gempa png
komik: yang harus diperhatikan ketika gempa bumi   kumparan.com,komik yang harus perhati ketika gempa bumi kumpar com,"['komik', 'yang', 'harus', 'perhati', 'ketika', 'gempa', 'bumi', 'kumpar', 'com']","['komik', 'perhati', 'gempa', 'bumi', 'kumpar', 'com']",komik perhati gempa bumi kumpar com
"serangkaian gempa di waktu berdekatan, cincin api telah aktif?",rangkai gempa di waktu dekat cincin api telah aktif,"['rangkai', 'gempa', 'di', 'waktu', 'dekat', 'cincin', 'api', 'telah', 'aktif']","['rangkai', 'gempa', 'cincin', 'api', 'aktif']",rangkai gempa cincin api aktif
update: sudah dua kali gempa hari ini terasa di jakarta,update sudah dua kali gempa hari ini asa di jakarta,"['update', 'sudah', 'dua', 'kali', 'gempa', 'hari', 'ini', 'asa', 'di', 'jakarta']","['update', 'kali', 'gempa', 'asa', 'jakarta']",update kali gempa asa jakarta
