published date,title,stem,tokens,tokens_clean,merged
2018-01-01 08:00:00+00:00,ceo inggris turut tewas dalam kecelakaan pesawat sydney,ceo inggris turut tewas dalam celaka pesawat sydney,"['ceo', 'inggris', 'turut', 'tewas', 'dalam', 'celaka', 'pesawat', 'sydney']","['ceo', 'inggris', 'tewas', 'celaka', 'pesawat', 'sydney']",ceo inggris tewas celaka pesawat sydney
2018-01-01 08:00:00+00:00,benarkah bulan purnama dan supermoon sebabkan kecelakaan?,benar bulan purnama dan supermoon sebab celaka,"['benar', 'bulan', 'purnama', 'dan', 'supermoon', 'sebab', 'celaka']","['purnama', 'supermoon', 'celaka']",purnama supermoon celaka
2018-01-01 08:00:00+00:00,"kecelakaan di indrapuri, korban mahasiswi asal aceh tamiang meninggal dunia",celaka di indrapuri korban mahasiswi asal aceh tamiang tinggal dunia,"['celaka', 'di', 'indrapuri', 'korban', 'mahasiswi', 'asal', 'aceh', 'tamiang', 'tinggal', 'dunia']","['celaka', 'indrapuri', 'korban', 'mahasiswi', 'aceh', 'tamiang', 'tinggal', 'dunia']",celaka indrapuri korban mahasiswi aceh tamiang tinggal dunia
2018-01-01 08:00:00+00:00,menguak alasan wanita lebih rentan kecelakaan saat mengemudi,uak alas wanita lebih rentan celaka saat kemudi,"['uak', 'alas', 'wanita', 'lebih', 'rentan', 'celaka', 'saat', 'kemudi']","['uak', 'alas', 'wanita', 'rentan', 'celaka', 'kemudi']",uak alas wanita rentan celaka kemudi
2018-01-01 08:00:00+00:00,dua belas orang tewas dalam kecelakaan pesawat di kosta rika,dua belas orang tewas dalam celaka pesawat di kosta rika,"['dua', 'belas', 'orang', 'tewas', 'dalam', 'celaka', 'pesawat', 'di', 'kosta', 'rika']","['belas', 'orang', 'tewas', 'celaka', 'pesawat', 'kosta', 'rika']",belas orang tewas celaka pesawat kosta rika
2018-01-01 08:00:00+00:00,"kecelakaan sukoharjo : honda vs suzuki tabrakan seusai malam tahun baru, 2 jiwa melayang",celaka sukoharjo honda vs suzuki tabrak usai malam tahun baru 2 jiwa layang,"['celaka', 'sukoharjo', 'honda', 'vs', 'suzuki', 'tabrak', 'usai', 'malam', 'tahun', 'baru', '2', 'jiwa', 'layang']","['celaka', 'sukoharjo', 'honda', 'vs', 'suzuki', 'tabrak', 'malam', '2', 'jiwa', 'layang']",celaka sukoharjo honda vs suzuki tabrak malam 2 jiwa layang
2018-01-01 08:00:00+00:00,delapan orang tewas dalam kecelakaan kapal di tarakan,delapan orang tewas dalam celaka kapal di tara,"['delapan', 'orang', 'tewas', 'dalam', 'celaka', 'kapal', 'di', 'tara']","['delapan', 'orang', 'tewas', 'celaka', 'kapal', 'tara']",delapan orang tewas celaka kapal tara
2018-01-01 08:00:00+00:00,"kecelakaan beruntun di pantai gemah tulungagung, 7 orang luka",celaka untun di pantai gemah tulungagung 7 orang luka,"['celaka', 'untun', 'di', 'pantai', 'gemah', 'tulungagung', '7', 'orang', 'luka']","['celaka', 'untun', 'pantai', 'gemah', 'tulungagung', '7', 'orang', 'luka']",celaka untun pantai gemah tulungagung 7 orang luka
2018-01-01 08:00:00+00:00,"kapal penumpang tenggelam di lepas pantai kalimantan, 8 tewas",kapal tumpang tenggelam di lepas pantai kalimantan 8 tewas,"['kapal', 'tumpang', 'tenggelam', 'di', 'lepas', 'pantai', 'kalimantan', '8', 'tewas']","['kapal', 'tumpang', 'tenggelam', 'lepas', 'pantai', 'kalimantan', '8', 'tewas']",kapal tumpang tenggelam lepas pantai kalimantan 8 tewas
2018-01-02 08:00:00+00:00,ini kronologi kecelakaan proyek tol depok-antasari,ini kronologi celaka proyek tol depok-antasari,"['ini', 'kronologi', 'celaka', 'proyek', 'tol', 'depok-antasari']","['kronologi', 'celaka', 'proyek', 'tol', 'depok-antasari']",kronologi celaka proyek tol depok-antasari
2018-01-02 08:00:00+00:00,"urus santunan kecelakaan bisa online, ini caranya",urus santun celaka bisa online ini cara,"['urus', 'santun', 'celaka', 'bisa', 'online', 'ini', 'cara']","['urus', 'santun', 'celaka', 'online']",urus santun celaka online
2018-01-02 08:00:00+00:00,"tidak ada pesawat jet penumpang yang jatuh, 2017 tahun 'yang paling aman dalam sejarah'",tidak ada pesawat jet tumpang yang jatuh 2017 tahun yang paling aman dalam sejarah,"['tidak', 'ada', 'pesawat', 'jet', 'tumpang', 'yang', 'jatuh', '2017', 'tahun', 'yang', 'paling', 'aman', 'dalam', 'sejarah']","['pesawat', 'jet', 'tumpang', 'jatuh', '2017', 'aman', 'sejarah']",pesawat jet tumpang jatuh 2017 aman sejarah
2018-01-02 08:00:00+00:00,bus pariwisata kecelakaan masuk jurang di bantul,bus pariwisata celaka masuk jurang di bantul,"['bus', 'pariwisata', 'celaka', 'masuk', 'jurang', 'di', 'bantul']","['bus', 'pariwisata', 'celaka', 'masuk', 'jurang', 'bantul']",bus pariwisata celaka masuk jurang bantul
2018-01-02 08:00:00+00:00,ini waktu paling rawan kecelakaan,ini waktu paling rawan celaka,"['ini', 'waktu', 'paling', 'rawan', 'celaka']","['rawan', 'celaka']",rawan celaka
2018-01-02 08:00:00+00:00,"fakta, kenapa tiap jam-jam ini banyak sekali kecelakaan?",fakta kenapa tiap jam ini banyak sekali celaka,"['fakta', 'kenapa', 'tiap', 'jam', 'ini', 'banyak', 'sekali', 'celaka']","['fakta', 'jam', 'celaka']",fakta jam celaka
2018-01-03 08:00:00+00:00,"kecelakaan di jombang libatkan 2 truk dan mobil, 2 orang luka",celaka di jombang libat 2 truk dan mobil 2 orang luka,"['celaka', 'di', 'jombang', 'libat', '2', 'truk', 'dan', 'mobil', '2', 'orang', 'luka']","['celaka', 'jombang', 'libat', '2', 'truk', 'mobil', '2', 'orang', 'luka']",celaka jombang libat 2 truk mobil 2 orang luka
2018-01-04 08:00:00+00:00,"kecelakaan maut di kampar tewaskan supir l300, dua lainnya luka-luka",celaka maut di kampar tewas supir l300 dua lain luka,"['celaka', 'maut', 'di', 'kampar', 'tewas', 'supir', 'l300', 'dua', 'lain', 'luka']","['celaka', 'maut', 'kampar', 'tewas', 'supir', 'l300', 'luka']",celaka maut kampar tewas supir l300 luka
2018-01-06 08:00:00+00:00,jalur barat rawan kecelakaan,jalur barat rawan celaka,"['jalur', 'barat', 'rawan', 'celaka']","['jalur', 'barat', 'rawan', 'celaka']",jalur barat rawan celaka
2018-01-06 08:00:00+00:00,kecelakaan beruntun terjadi tol jorr,celaka untun jadi tol jorr,"['celaka', 'untun', 'jadi', 'tol', 'jorr']","['celaka', 'untun', 'tol', 'jorr']",celaka untun tol jorr
2018-01-06 08:00:00+00:00,6 januari 2018: kecelakaan beruntun di tol jorr libatkan 3 mobil dan satu tronton,6 januari 2018 celaka untun di tol jorr libat 3 mobil dan satu tronton,"['6', 'januari', '2018', 'celaka', 'untun', 'di', 'tol', 'jorr', 'libat', '3', 'mobil', 'dan', 'satu', 'tronton']","['6', 'januari', '2018', 'celaka', 'untun', 'tol', 'jorr', 'libat', '3', 'mobil', 'tronton']",6 januari 2018 celaka untun tol jorr libat 3 mobil tronton
2018-01-07 08:00:00+00:00,"kapal tanker tabrakan di cina, 32 orang hilang",kapal tanker tabrak di cina 32 orang hilang,"['kapal', 'tanker', 'tabrak', 'di', 'cina', '32', 'orang', 'hilang']","['kapal', 'tanker', 'tabrak', 'cina', '32', 'orang', 'hilang']",kapal tanker tabrak cina 32 orang hilang
2018-01-07 08:00:00+00:00,"kecelakaan sampri vs panther di sibolangit, satu tewas belasan luka-luka",celaka sampri vs panther di sibolangit satu tewas bas luka,"['celaka', 'sampri', 'vs', 'panther', 'di', 'sibolangit', 'satu', 'tewas', 'bas', 'luka']","['celaka', 'sampri', 'vs', 'panther', 'sibolangit', 'tewas', 'bas', 'luka']",celaka sampri vs panther sibolangit tewas bas luka
2018-01-07 08:00:00+00:00,"kecelakaan dahysat di sibolangit: bus sampri hancur, isuzu phanter terguling",celaka dahysat di sibolangit bus sampri hancur isuzu phanter guling,"['celaka', 'dahysat', 'di', 'sibolangit', 'bus', 'sampri', 'hancur', 'isuzu', 'phanter', 'guling']","['celaka', 'dahysat', 'sibolangit', 'bus', 'sampri', 'hancur', 'isuzu', 'phanter', 'guling']",celaka dahysat sibolangit bus sampri hancur isuzu phanter guling
2018-01-08 08:00:00+00:00,"kecelakaan maut mobil truk dan motor di muna , tewaskan dua kakak beradik",celaka maut mobil truk dan motor di muna tewas dua kakak adik,"['celaka', 'maut', 'mobil', 'truk', 'dan', 'motor', 'di', 'muna', 'tewas', 'dua', 'kakak', 'adik']","['celaka', 'maut', 'mobil', 'truk', 'motor', 'muna', 'tewas', 'kakak', 'adik']",celaka maut mobil truk motor muna tewas kakak adik
2018-01-08 08:00:00+00:00,"kecelakaan beruntun di cikande, dua pengendara meninggal dunia",celaka untun di cikande dua kendara tinggal dunia,"['celaka', 'untun', 'di', 'cikande', 'dua', 'kendara', 'tinggal', 'dunia']","['celaka', 'untun', 'cikande', 'kendara', 'tinggal', 'dunia']",celaka untun cikande kendara tinggal dunia
2018-01-08 08:00:00+00:00,ini daftar nama-nama korban kecelakaan maut di jamin ginting,ini daftar nama korban celaka maut di jamin ginting,"['ini', 'daftar', 'nama', 'korban', 'celaka', 'maut', 'di', 'jamin', 'ginting']","['daftar', 'nama', 'korban', 'celaka', 'maut', 'jamin', 'ginting']",daftar nama korban celaka maut jamin ginting
2018-01-08 08:00:00+00:00,inikah kecelakaan mitsubishi xpander pertama?,ini celaka mitsubishi xpander pertama,"['ini', 'celaka', 'mitsubishi', 'xpander', 'pertama']","['celaka', 'mitsubishi', 'xpander']",celaka mitsubishi xpander
2018-01-09 08:00:00+00:00,"kecelakaan, adik nikita dilarikan ke rumah sakit",celaka adik nikita lari ke rumah sakit,"['celaka', 'adik', 'nikita', 'lari', 'ke', 'rumah', 'sakit']","['celaka', 'adik', 'nikita', 'lari', 'rumah', 'sakit']",celaka adik nikita lari rumah sakit
2018-01-09 08:00:00+00:00,dua orang meninggal dalam kecelakaan pantura karawang,dua orang tinggal dalam celaka pantura karawang,"['dua', 'orang', 'tinggal', 'dalam', 'celaka', 'pantura', 'karawang']","['orang', 'tinggal', 'celaka', 'pantura', 'karawang']",orang tinggal celaka pantura karawang
2018-01-10 08:00:00+00:00,begini konstruksi dugaan rekayasa sakit setya novanto usai kecelakaan,begini konstruksi duga rekayasa sakit setya novanto usai celaka,"['begini', 'konstruksi', 'duga', 'rekayasa', 'sakit', 'setya', 'novanto', 'usai', 'celaka']","['konstruksi', 'duga', 'rekayasa', 'sakit', 'setya', 'novanto', 'celaka']",konstruksi duga rekayasa sakit setya novanto celaka
