published date,title,stem,tokens,tokens_clean,merged
2018-01-11 08:00:00+00:00,"gempa bumi 5,1 sr mengguncang iran",gempa bumi 5 1 sr guncang iran,"['gempa', 'bumi', '5', '1', 'sr', 'guncang', 'iran']","['gempa', 'bumi', '5', '1', 'sr', 'guncang', 'iran']",gempa bumi 5 1 sr guncang iran
2018-01-12 08:00:00+00:00,gempa tektonik 4 sr guncang nias selatan,gempa tektonik 4 sr guncang nias selatan,"['gempa', 'tektonik', '4', 'sr', 'guncang', 'nias', 'selatan']","['gempa', 'tektonik', '4', 'sr', 'guncang', 'nias', 'selatan']",gempa tektonik 4 sr guncang nias selatan
2018-01-12 08:00:00+00:00,gempa bumi guncang wilayah luwu timur,gempa bumi guncang wilayah luwu timur,"['gempa', 'bumi', 'guncang', 'wilayah', 'luwu', 'timur']","['gempa', 'bumi', 'guncang', 'wilayah', 'luwu', 'timur']",gempa bumi guncang wilayah luwu timur
2018-01-18 08:00:00+00:00,5 meteor yang pernah jatuh di indonesia,5 meteor yang pernah jatuh di indonesia,"['5', 'meteor', 'yang', 'pernah', 'jatuh', 'di', 'indonesia']","['5', 'meteor', 'jatuh', 'indonesia']",5 meteor jatuh indonesia
2018-01-20 10:32:09+00:00,gerak cepat tanpa pembedaan,gerak cepat tanpa beda,"['gerak', 'cepat', 'tanpa', 'beda']","['gerak', 'cepat', 'beda']",gerak cepat beda
2018-01-22 08:00:00+00:00,"mitos purnama picu gempa, ini kata peneliti halaman all",mitos purnama picu gempa ini kata teliti halaman all,"['mitos', 'purnama', 'picu', 'gempa', 'ini', 'kata', 'teliti', 'halaman', 'all']","['mitos', 'purnama', 'picu', 'gempa', 'teliti', 'halaman', 'all']",mitos purnama picu gempa teliti halaman all
2018-01-23 08:00:00+00:00,"gempa dahsyat guncang banten hingga jakarta, berikut video dan foto-fotonya",gempa dahsyat guncang banten hingga jakarta ikut video dan foto,"['gempa', 'dahsyat', 'guncang', 'banten', 'hingga', 'jakarta', 'ikut', 'video', 'dan', 'foto']","['gempa', 'dahsyat', 'guncang', 'banten', 'jakarta', 'video', 'foto']",gempa dahsyat guncang banten jakarta video foto
2018-01-23 08:00:00+00:00,bpbd sebut 46 rumah rusak akibat gempa di lebak banten,bpbd sebut 46 rumah rusak akibat gempa di lebak banten,"['bpbd', 'sebut', '46', 'rumah', 'rusak', 'akibat', 'gempa', 'di', 'lebak', 'banten']","['bpbd', '46', 'rumah', 'rusak', 'akibat', 'gempa', 'lebak', 'banten']",bpbd 46 rumah rusak akibat gempa lebak banten
2018-01-23 08:00:00+00:00,"gempa banten, belasan orang di bogor luka-luka",gempa banten bas orang di bogor luka,"['gempa', 'banten', 'bas', 'orang', 'di', 'bogor', 'luka']","['gempa', 'banten', 'bas', 'orang', 'bogor', 'luka']",gempa banten bas orang bogor luka
2018-01-23 08:00:00+00:00,pantau lokasi akurat #gempa via aplikasi ini,pantau lokasi akurat gempa via aplikasi ini,"['pantau', 'lokasi', 'akurat', 'gempa', 'via', 'aplikasi', 'ini']","['pantau', 'lokasi', 'akurat', 'gempa', 'via', 'aplikasi']",pantau lokasi akurat gempa via aplikasi
2018-01-23 08:00:00+00:00,"ada gempa saat rapat di pemkot tangsel, airin panik",ada gempa saat rapat di pemkot tangsel airin panik,"['ada', 'gempa', 'saat', 'rapat', 'di', 'pemkot', 'tangsel', 'airin', 'panik']","['gempa', 'rapat', 'pemkot', 'tangsel', 'airin', 'panik']",gempa rapat pemkot tangsel airin panik
2018-01-23 08:00:00+00:00,cerita warga rangkasbitung selamatkan diri dari gempa lebak,cerita warga rangkasbitung selamat diri dari gempa lebak,"['cerita', 'warga', 'rangkasbitung', 'selamat', 'diri', 'dari', 'gempa', 'lebak']","['cerita', 'warga', 'rangkasbitung', 'selamat', 'gempa', 'lebak']",cerita warga rangkasbitung selamat gempa lebak
2018-01-23 08:00:00+00:00,"gempa bikin 1 rumah rusak di jagakarsa, 1 orang terluka",gempa bikin 1 rumah rusak di jagakarsa 1 orang luka,"['gempa', 'bikin', '1', 'rumah', 'rusak', 'di', 'jagakarsa', '1', 'orang', 'luka']","['gempa', 'bikin', '1', 'rumah', 'rusak', 'jagakarsa', '1', 'orang', 'luka']",gempa bikin 1 rumah rusak jagakarsa 1 orang luka
2018-01-23 08:00:00+00:00,"gempa lebak terasa hingga lampung dan bantul, yogyakarta",gempa lebak asa hingga lampung dan bantul yogyakarta,"['gempa', 'lebak', 'asa', 'hingga', 'lampung', 'dan', 'bantul', 'yogyakarta']","['gempa', 'lebak', 'asa', 'lampung', 'bantul', 'yogyakarta']",gempa lebak asa lampung bantul yogyakarta
2018-01-23 08:00:00+00:00,"gempa bumi, gunung berapi guncang kedua sisi pasifik",gempa bumi gunung rap guncang dua sisi pasifik,"['gempa', 'bumi', 'gunung', 'rap', 'guncang', 'dua', 'sisi', 'pasifik']","['gempa', 'bumi', 'gunung', 'rap', 'guncang', 'sisi', 'pasifik']",gempa bumi gunung rap guncang sisi pasifik
2018-01-23 08:00:00+00:00,"diguncang gempa, pasien rsud pasar minggu dievakuasi ke lobi",guncang gempa pasien rsud pasar minggu evakuasi ke lobi,"['guncang', 'gempa', 'pasien', 'rsud', 'pasar', 'minggu', 'evakuasi', 'ke', 'lobi']","['guncang', 'gempa', 'pasien', 'rsud', 'pasar', 'minggu', 'evakuasi', 'lobi']",guncang gempa pasien rsud pasar minggu evakuasi lobi
2018-01-23 08:00:00+00:00,jangan keluar dari gedung tinggi saat gempa,jangan keluar dari gedung tinggi saat gempa,"['jangan', 'keluar', 'dari', 'gedung', 'tinggi', 'saat', 'gempa']","['gedung', 'gempa']",gedung gempa
2018-01-23 08:00:00+00:00,"gempa jakarta, pabrik toyota dan daihatsu sempat berhenti",gempa jakarta pabrik toyota dan daihatsu sempat henti,"['gempa', 'jakarta', 'pabrik', 'toyota', 'dan', 'daihatsu', 'sempat', 'henti']","['gempa', 'jakarta', 'pabrik', 'toyota', 'daihatsu', 'henti']",gempa jakarta pabrik toyota daihatsu henti
2018-01-23 08:00:00+00:00,"ada gempa, jangan lupa selamatkan dokumen dan surat berharga",ada gempa jangan lupa selamat dokumen dan surat harga,"['ada', 'gempa', 'jangan', 'lupa', 'selamat', 'dokumen', 'dan', 'surat', 'harga']","['gempa', 'lupa', 'selamat', 'dokumen', 'surat', 'harga']",gempa lupa selamat dokumen surat harga
2018-01-23 08:00:00+00:00,"gempa di banten, atap aula sekolah cahaya madani di pandeglang ambruk",gempa di banten atap aula sekolah cahaya madani di pandeglang ambruk,"['gempa', 'di', 'banten', 'atap', 'aula', 'sekolah', 'cahaya', 'madani', 'di', 'pandeglang', 'ambruk']","['gempa', 'banten', 'atap', 'aula', 'sekolah', 'cahaya', 'madani', 'pandeglang', 'ambruk']",gempa banten atap aula sekolah cahaya madani pandeglang ambruk
2018-01-23 08:00:00+00:00,"puluhan orang berhamburan keluar gedung ccm cikini, jakarta saat terjadi gempa bumi",puluh orang hambur keluar gedung ccm cikini jakarta saat jadi gempa bumi,"['puluh', 'orang', 'hambur', 'keluar', 'gedung', 'ccm', 'cikini', 'jakarta', 'saat', 'jadi', 'gempa', 'bumi']","['puluh', 'orang', 'hambur', 'gedung', 'ccm', 'cikini', 'jakarta', 'gempa', 'bumi']",puluh orang hambur gedung ccm cikini jakarta gempa bumi
2018-01-23 08:00:00+00:00,"ketahui sejarah terciptanya seismograf, alat pengukur gempa bumi",tahu sejarah cipta seismograf alat ukur gempa bumi,"['tahu', 'sejarah', 'cipta', 'seismograf', 'alat', 'ukur', 'gempa', 'bumi']","['sejarah', 'cipta', 'seismograf', 'alat', 'ukur', 'gempa', 'bumi']",sejarah cipta seismograf alat ukur gempa bumi
2018-01-23 08:00:00+00:00,menyelamatkan diri saat terjebak gempa di gedung tinggi,selamat diri saat jebak gempa di gedung tinggi,"['selamat', 'diri', 'saat', 'jebak', 'gempa', 'di', 'gedung', 'tinggi']","['selamat', 'jebak', 'gempa', 'gedung']",selamat jebak gempa gedung
2018-01-23 08:00:00+00:00,"guncangan gempa, mk evakuasi mahasiswa unsiq wonosobo",guncang gempa mk evakuasi mahasiswa unsiq wonosobo,"['guncang', 'gempa', 'mk', 'evakuasi', 'mahasiswa', 'unsiq', 'wonosobo']","['guncang', 'gempa', 'mk', 'evakuasi', 'mahasiswa', 'unsiq', 'wonosobo']",guncang gempa mk evakuasi mahasiswa unsiq wonosobo
2018-01-23 08:00:00+00:00,keramik di dinding kantor wali kota depok berjatuhan karena gempa,keramik di dinding kantor wali kota depok jatuh karena gempa,"['keramik', 'di', 'dinding', 'kantor', 'wali', 'kota', 'depok', 'jatuh', 'karena', 'gempa']","['keramik', 'dinding', 'kantor', 'wali', 'kota', 'depok', 'jatuh', 'gempa']",keramik dinding kantor wali kota depok jatuh gempa
2018-01-23 08:00:00+00:00,4 trik atasi panik dan trauma akibat gempa,4 trik atas panik dan trauma akibat gempa,"['4', 'trik', 'atas', 'panik', 'dan', 'trauma', 'akibat', 'gempa']","['4', 'trik', 'panik', 'trauma', 'akibat', 'gempa']",4 trik panik trauma akibat gempa
2018-01-23 08:00:00+00:00,atap sekolah di pandeglang ambruk karena gempa lebak,atap sekolah di pandeglang ambruk karena gempa lebak,"['atap', 'sekolah', 'di', 'pandeglang', 'ambruk', 'karena', 'gempa', 'lebak']","['atap', 'sekolah', 'pandeglang', 'ambruk', 'gempa', 'lebak']",atap sekolah pandeglang ambruk gempa lebak
2018-01-23 08:00:00+00:00,"tak kaget, brandon salim terbiasa dengan gempa bumi",tak kaget brandon salim biasa dengan gempa bumi,"['tak', 'kaget', 'brandon', 'salim', 'biasa', 'dengan', 'gempa', 'bumi']","['kaget', 'brandon', 'salim', 'gempa', 'bumi']",kaget brandon salim gempa bumi
2018-01-23 08:00:00+00:00,panduan melindungi diri saat gempa bumi terjadi,pandu lindung diri saat gempa bumi jadi,"['pandu', 'lindung', 'diri', 'saat', 'gempa', 'bumi', 'jadi']","['pandu', 'lindung', 'gempa', 'bumi']",pandu lindung gempa bumi
2018-01-23 08:00:00+00:00,ini langkah-langkah yang perlu dilakukan saat terjadi gempa bumi,ini langkah yang perlu laku saat jadi gempa bumi,"['ini', 'langkah', 'yang', 'perlu', 'laku', 'saat', 'jadi', 'gempa', 'bumi']","['langkah', 'laku', 'gempa', 'bumi']",langkah laku gempa bumi
2018-01-23 08:00:00+00:00,gempa guncang jakarta,gempa guncang jakarta,"['gempa', 'guncang', 'jakarta']","['gempa', 'guncang', 'jakarta']",gempa guncang jakarta
2018-01-23 08:00:00+00:00,"gempa hari ini, jumlah bangunan rusak di lebak terus bertambah",gempa hari ini jumlah bangun rusak di lebak terus tambah,"['gempa', 'hari', 'ini', 'jumlah', 'bangun', 'rusak', 'di', 'lebak', 'terus', 'tambah']","['gempa', 'bangun', 'rusak', 'lebak']",gempa bangun rusak lebak
2018-01-23 08:00:00+00:00,7 lagu bertema gempa bumi dan bencana,7 lagu tema gempa bumi dan bencana,"['7', 'lagu', 'tema', 'gempa', 'bumi', 'dan', 'bencana']","['7', 'lagu', 'tema', 'gempa', 'bumi', 'bencana']",7 lagu tema gempa bumi bencana
2018-01-23 08:00:00+00:00,bmkg: gempa banten hari ini tak berpotensi tsunami,bmkg gempa banten hari ini tak potensi tsunami,"['bmkg', 'gempa', 'banten', 'hari', 'ini', 'tak', 'potensi', 'tsunami']","['bmkg', 'gempa', 'banten', 'potensi', 'tsunami']",bmkg gempa banten potensi tsunami
2018-01-23 08:00:00+00:00,"gempa, karyawan gedung bertingkat di jakarta dzikir berjamaah",gempa karyawan gedung tingkat di jakarta dzikir jamaah,"['gempa', 'karyawan', 'gedung', 'tingkat', 'di', 'jakarta', 'dzikir', 'jamaah']","['gempa', 'karyawan', 'gedung', 'tingkat', 'jakarta', 'dzikir', 'jamaah']",gempa karyawan gedung tingkat jakarta dzikir jamaah
2018-01-23 08:00:00+00:00,kopassus bantu penanganan bencana gempa di bogor. jalur ke cisalimat sudah selesai dibuka,kopassus bantu tangan bencana gempa di bogor jalur ke cisalimat sudah selesai buka,"['kopassus', 'bantu', 'tangan', 'bencana', 'gempa', 'di', 'bogor', 'jalur', 'ke', 'cisalimat', 'sudah', 'selesai', 'buka']","['kopassus', 'bantu', 'tangan', 'bencana', 'gempa', 'bogor', 'jalur', 'cisalimat', 'selesai', 'buka']",kopassus bantu tangan bencana gempa bogor jalur cisalimat selesai buka
2018-01-23 08:00:00+00:00,"gempa di jakarta, banten dan sekitarnya: setya novanto sempat diungsikan dari kpk",gempa di jakarta banten dan sekitar setya novanto sempat ungsi dari kpk,"['gempa', 'di', 'jakarta', 'banten', 'dan', 'sekitar', 'setya', 'novanto', 'sempat', 'ungsi', 'dari', 'kpk']","['gempa', 'jakarta', 'banten', 'setya', 'novanto', 'ungsi', 'kpk']",gempa jakarta banten setya novanto ungsi kpk
2018-01-23 08:00:00+00:00,"jakarta diguncang gempa 6,4 skala richter, ini doanya",jakarta guncang gempa 6 4 skala richter ini doa,"['jakarta', 'guncang', 'gempa', '6', '4', 'skala', 'richter', 'ini', 'doa']","['jakarta', 'guncang', 'gempa', '6', '4', 'skala', 'richter', 'doa']",jakarta guncang gempa 6 4 skala richter doa
2018-01-23 08:00:00+00:00,benarkah bulan purnama menyebabkan gempa bumi? begini penjelasan peneliti,benar bulan purnama sebab gempa bumi begini jelas teliti,"['benar', 'bulan', 'purnama', 'sebab', 'gempa', 'bumi', 'begini', 'jelas', 'teliti']","['purnama', 'gempa', 'bumi', 'teliti']",purnama gempa bumi teliti
