published date,title,stem,tokens,tokens_clean,merged
2018-01-09 08:00:00+00:00,cinevista studios gets notice for fire safety violations,cinevista studios gets notice for fire safety violations,"['cinevista', 'studios', 'gets', 'notice', 'for', 'fire', 'safety', 'violations']","['cinevista', 'studios', 'gets', 'notice', 'for', 'fire', 'safety', 'violations']",cinevista studios gets notice for fire safety violations
2018-02-01 08:00:00+00:00,sisa api unggun pendaki diduga jadi penyebab kebakaran gunung talang,sisa api unggun daki duga jadi sebab bakar gunung talang,"['sisa', 'api', 'unggun', 'daki', 'duga', 'jadi', 'sebab', 'bakar', 'gunung', 'talang']","['sisa', 'api', 'unggun', 'daki', 'duga', 'bakar', 'gunung', 'talang']",sisa api unggun daki duga bakar gunung talang
2018-02-01 08:00:00+00:00,"kebakaran di tunjung maya, 3 rumah hangus, seorang nenek nyaris terbakar",bakar di tunjung maya 3 rumah hangus orang nenek nyaris bakar,"['bakar', 'di', 'tunjung', 'maya', '3', 'rumah', 'hangus', 'orang', 'nenek', 'nyaris', 'bakar']","['bakar', 'tunjung', 'maya', '3', 'rumah', 'hangus', 'orang', 'nenek', 'bakar']",bakar tunjung maya 3 rumah hangus orang nenek bakar
2018-02-02 08:00:00+00:00,empat orang sekeluarga tewas dalam kebakaran di cengkareng,empat orang keluarga tewas dalam bakar di cengkareng,"['empat', 'orang', 'keluarga', 'tewas', 'dalam', 'bakar', 'di', 'cengkareng']","['orang', 'keluarga', 'tewas', 'bakar', 'cengkareng']",orang keluarga tewas bakar cengkareng
2018-02-02 08:00:00+00:00,"kebakaran di belilas, dua ruko dan 12 kios hangus terbakar",bakar di bilas dua ruko dan 12 kios hangus bakar,"['bakar', 'di', 'bilas', 'dua', 'ruko', 'dan', '12', 'kios', 'hangus', 'bakar']","['bakar', 'bilas', 'ruko', '12', 'kios', 'hangus', 'bakar']",bakar bilas ruko 12 kios hangus bakar
2018-02-02 08:00:00+00:00,empat orang tewas dalam kebakaran di pedongkelan | republika online,empat orang tewas dalam bakar di dongkel republika online,"['empat', 'orang', 'tewas', 'dalam', 'bakar', 'di', 'dongkel', 'republika', 'online']","['orang', 'tewas', 'bakar', 'dongkel', 'republika', 'online']",orang tewas bakar dongkel republika online
2018-02-02 08:00:00+00:00,"selidiki penyebab kebakaran, tim puslabfor dari medan didatangkan ke desa bekawan mandah",selidik sebab bakar tim puslabfor dari medan datang ke desa bekawan mandah,"['selidik', 'sebab', 'bakar', 'tim', 'puslabfor', 'dari', 'medan', 'datang', 'ke', 'desa', 'bekawan', 'mandah']","['selidik', 'bakar', 'tim', 'puslabfor', 'medan', 'desa', 'bekawan', 'mandah']",selidik bakar tim puslabfor medan desa bekawan mandah
2018-02-02 08:00:00+00:00,kesaksian warga soal kebakaran di pedongkelan yang tewaskan satu keluarga,saksi warga soal bakar di dongkel yang tewas satu keluarga,"['saksi', 'warga', 'soal', 'bakar', 'di', 'dongkel', 'yang', 'tewas', 'satu', 'keluarga']","['saksi', 'warga', 'bakar', 'dongkel', 'tewas', 'keluarga']",saksi warga bakar dongkel tewas keluarga
2018-02-02 08:00:00+00:00,cerita satu-satunya rumah selamat dalam kebakaran di tamansari,cerita satu rumah selamat dalam bakar di tamansari,"['cerita', 'satu', 'rumah', 'selamat', 'dalam', 'bakar', 'di', 'tamansari']","['cerita', 'rumah', 'selamat', 'bakar', 'tamansari']",cerita rumah selamat bakar tamansari
2018-02-03 08:00:00+00:00,potret ruangan di gedung dpr yang hangus terbakar,potret ruang di gedung dpr yang hangus bakar,"['potret', 'ruang', 'di', 'gedung', 'dpr', 'yang', 'hangus', 'bakar']","['potret', 'ruang', 'gedung', 'dpr', 'hangus', 'bakar']",potret ruang gedung dpr hangus bakar
2018-02-03 08:00:00+00:00,kebakaran kebun sawit meluas,bakar kebun sawit luas,"['bakar', 'kebun', 'sawit', 'luas']","['bakar', 'kebun', 'sawit', 'luas']",bakar kebun sawit luas
2018-02-03 08:00:00+00:00,kebakaran di gedung dpr/mpr karena korsleting,bakar di gedung dpr mpr karena korsleting,"['bakar', 'di', 'gedung', 'dpr', 'mpr', 'karena', 'korsleting']","['bakar', 'gedung', 'dpr', 'mpr', 'korsleting']",bakar gedung dpr mpr korsleting
