published date,title,stem,tokens,tokens_clean,merged
2018-02-02 08:00:00+00:00,banjir genangi 23 desa di kabupaten jember,banjir genang 23 desa di kabupaten jember,"['banjir', 'genang', '23', 'desa', 'di', 'kabupaten', 'jember']","['banjir', 'genang', '23', 'desa', 'kabupaten', 'jember']",banjir genang 23 desa kabupaten jember
2018-02-04 08:00:00+00:00,"ini, 11 titik banjir di denpasar yang belum tertangani | balipost.com",ini 11 titik banjir di denpasar yang belum tangan balipost com,"['ini', '11', 'titik', 'banjir', 'di', 'denpasar', 'yang', 'belum', 'tangan', 'balipost', 'com']","['11', 'titik', 'banjir', 'denpasar', 'tangan', 'balipost', 'com']",11 titik banjir denpasar tangan balipost com
2018-02-04 08:00:00+00:00,foto: banjir rob terjang semarang,foto banjir rob terjang semarang,"['foto', 'banjir', 'rob', 'terjang', 'semarang']","['foto', 'banjir', 'rob', 'terjang', 'semarang']",foto banjir rob terjang semarang
2018-02-05 08:00:00+00:00,"longsor tewaskan tiga orang, jakarta mulai banjir, pengungsian berlangsung",longsor tewas tiga orang jakarta mulai banjir ungsi langsung,"['longsor', 'tewas', 'tiga', 'orang', 'jakarta', 'mulai', 'banjir', 'ungsi', 'langsung']","['longsor', 'tewas', 'orang', 'jakarta', 'banjir', 'ungsi', 'langsung']",longsor tewas orang jakarta banjir ungsi langsung
2018-02-05 08:00:00+00:00,jalur pantura kudus tersendat akibat banjir,jalur pantura kudus sendat akibat banjir,"['jalur', 'pantura', 'kudus', 'sendat', 'akibat', 'banjir']","['jalur', 'pantura', 'kudus', 'sendat', 'akibat', 'banjir']",jalur pantura kudus sendat akibat banjir
2018-02-05 08:00:00+00:00,"sungai ciliwung meluap, ratusan rumah di bogor banjir",sungai ciliwung luap ratus rumah di bogor banjir,"['sungai', 'ciliwung', 'luap', 'ratus', 'rumah', 'di', 'bogor', 'banjir']","['sungai', 'ciliwung', 'luap', 'ratus', 'rumah', 'bogor', 'banjir']",sungai ciliwung luap ratus rumah bogor banjir
2018-02-05 08:00:00+00:00,lima cara cepat pantau banjir,lima cara cepat pantau banjir,"['lima', 'cara', 'cepat', 'pantau', 'banjir']","['cepat', 'pantau', 'banjir']",cepat pantau banjir
2018-02-05 08:00:00+00:00,"andalkan perahu gabus, warga cawang terbiasa dengan banjir",andal perahu gabus warga cawang biasa dengan banjir,"['andal', 'perahu', 'gabus', 'warga', 'cawang', 'biasa', 'dengan', 'banjir']","['andal', 'perahu', 'gabus', 'warga', 'cawang', 'banjir']",andal perahu gabus warga cawang banjir
2018-02-05 08:00:00+00:00,foto: banjir kiriman terjang ibu kota,foto banjir kirim terjang ibu kota,"['foto', 'banjir', 'kirim', 'terjang', 'ibu', 'kota']","['foto', 'banjir', 'kirim', 'terjang', 'kota']",foto banjir kirim terjang kota
2018-02-05 08:00:00+00:00,tni siapkan posko bantu korban banjir di kampung melayu,tni siap posko bantu korban banjir di kampung melayu,"['tni', 'siap', 'posko', 'bantu', 'korban', 'banjir', 'di', 'kampung', 'melayu']","['tni', 'posko', 'bantu', 'korban', 'banjir', 'kampung', 'melayu']",tni posko bantu korban banjir kampung melayu
